Year,Month,DayOfWeek,Hour,Total
2019,7,1,23,100.4
2019,7,2,0,41.2
2019,7,2,1,14.0
2019,7,2,2,12.4
2019,7,2,3,6.2
2019,7,2,4,5.6
2019,7,2,5,37.4
2019,7,2,6,195.0
2019,7,2,7,642.0
2019,7,2,8,1026.2
2019,7,2,9,587.4
2019,7,2,10,308.0
2019,7,2,11,287.6
2019,7,2,12,331.4
2019,7,2,13,361.4
2019,7,2,14,389.8
2019,7,2,15,480.4
2019,7,2,16,594.4
2019,7,2,17,900.2
2019,7,2,18,1072.6
2019,7,2,19,714.0
2019,7,2,20,470.0
2019,7,2,21,375.8
2019,7,2,22,319.0
2019,7,2,23,190.6
2019,7,3,0,75.6
2019,7,3,1,30.4
2019,7,3,2,12.0
2019,7,3,3,5.2
2019,7,3,4,10.0
2019,7,3,5,38.6
2019,7,3,6,179.0
2019,7,3,7,553.6
2019,7,3,8,909.0
2019,7,3,9,508.6
2019,7,3,10,268.2
